score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,10,top,-0.01401940339388873,-0.12509137835824855,44.893445918777644,-8.822268445326504,4974,0.0011012163020740354,0.0035,-0.005898783697925965,-0.11515151515151514,-0.002589736108326102
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,20,top,-0.017466101416755694,-0.15311264507415498,42.30459307010476,-10.78765243475535,4964,-9.245711385060668e-05,0.0025,-0.005092457113850607,-0.24848484848484845,-0.0035845679692632047
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,20,top,-0.017466101416755694,-0.15311264507415498,42.30459307010476,-10.78765243475535,4964,-9.245711385060668e-05,0.0035,-0.007092457113850607,-0.24848484848484845,-0.0035845679692632047
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,60,top,-0.019221319075413624,-0.17367309258494368,41.47034930950447,-12.186852643952117,4924,-0.0022817741962516402,0.0025,-0.00728177419625164,0.06666666666666665,-0.0046795422256283165
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,60,top,-0.019221319075413624,-0.17367309258494368,41.47034930950447,-12.186852643952117,4924,-0.0022817741962516402,0.0035,-0.00928177419625164,0.06666666666666665,-0.004679542225628316
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,10,top,-0.00445114467445216,-0.04014754274698276,48.16006434747637,-2.8311846748333602,4973,0.0010433579051290567,0.0025,-0.003956642094870943,0.07878787878787878,-0.0026475945052710807
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,10,top,-0.00445114467445216,-0.04014754274698276,48.16006434747637,-2.8311846748333602,4973,0.0010433579051290567,0.0035,-0.005956642094870943,0.07878787878787878,-0.0026475945052710807
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,20,top,-0.008488090736114128,-0.07525642971277816,45.9802538787024,-5.3017073144116855,4963,-0.00044727444747969837,0.0025,-0.0054472744474796985,-0.11515151515151514,-0.003939385302892296
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,20,top,-0.008488090736114128,-0.07525642971277816,45.9802538787024,-5.3017073144116855,4963,-0.00044727444747969837,0.0035,-0.0074472744474796985,-0.11515151515151514,-0.003939385302892296
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,60,top,-0.009502267249821969,-0.08341272823554956,46.028844200690635,-5.852578453096336,4923,-0.0026047783300705493,0.0025,-0.007604778330070549,-0.04242424242424241,-0.0050025463594472255
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_100m,60,top,-0.009502267249821969,-0.08341272823554956,46.028844200690635,-5.852578453096336,4923,-0.0026047783300705493,0.0035,-0.009604778330070549,-0.04242424242424241,-0.005002546359447225
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_100m,10,top,-0.003496428625337754,-0.03133740903130701,48.52201890207118,-2.2098984427904673,4973,0.0013876900622784164,0.0025,-0.0036123099377215837,0.22424242424242422,-0.002303262348121721
