stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
4.5,2.0,0.16,1.0,0.03430111977214564,0.002469000660830568,1.0,-0.7794922362564185,-0.05114295756154554,241.0,2019-10-18,2020-01-10,train_top5
3.0,3.0,0.14,1.2,-0.03701419459635747,-0.002754787032899635,421.0,-0.7494154342778401,-0.0456888610039902,181.0,2019-10-18,2020-01-10,baseline
2.0,1.5,0.1,1.0,-0.11660037067314338,-0.008251286994973808,1.0,-2.450100634606431,-0.06255548449182356,421.0,2019-11-15,2020-02-07,train_top5
2.0,1.5,0.1,1.2,-0.11660037067314338,-0.008251286994973808,1.0,-2.450100634606431,-0.06255548449182356,421.0,2019-11-15,2020-02-07,train_top5
2.0,1.5,0.1,1.5,-0.11660037067314338,-0.008251286994973808,1.0,-2.450100634606431,-0.06255548449182356,421.0,2019-11-15,2020-02-07,train_top5
2.0,1.5,0.1,1.8,-0.11660037067314338,-0.008251286994973808,1.0,-2.450100634606431,-0.06255548449182356,421.0,2019-11-15,2020-02-07,train_top5
2.0,2.0,0.1,1.0,-0.11660037067314338,-0.008251286994973808,1.0,-2.450100634606431,-0.06255548449182356,421.0,2019-11-15,2020-02-07,train_top5
3.0,3.0,0.14,1.2,-0.1393306161888566,-0.010813969342965944,261.0,-2.016877302260973,-0.07935914676104845,121.0,2019-11-15,2020-02-07,baseline
3.0,1.5,0.14,1.0,0.5044839419426644,0.04184974696423365,1.0,-0.12500927971863182,-0.010399889521321683,41.0,2020-05-08,2020-07-31,train_top5
3.0,1.5,0.14,1.2,0.5044839419426644,0.04184974696423365,1.0,-0.12500927971863182,-0.010399889521321683,41.0,2020-05-08,2020-07-31,train_top5
3.0,1.5,0.14,1.5,0.5044839419426644,0.04184974696423365,1.0,-0.12500927971863182,-0.010399889521321683,41.0,2020-05-08,2020-07-31,train_top5
3.0,1.5,0.14,1.8,0.5044839419426644,0.04184974696423365,1.0,-0.12500927971863182,-0.010399889521321683,41.0,2020-05-08,2020-07-31,train_top5
