tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.22,0.4,0.7,1.6,12797,0.023920742565171446,0.1505016528225814,0.15894006555110973,0.4723763382042666,0.46346800031257324,0.43814956630460267,0.17887004766742204,0.05665390325857623,-0.007466457273701634,1.2444815702232335
0.08,0.22,0.4,0.9,1.6,12797,0.024040948081469917,0.15063551502193348,0.15959681273018123,0.4718293350003907,0.46346800031257324,0.43377354067359536,0.17629131827772135,0.05579432679534266,-0.005732614794394631,1.2444815702232335
0.08,0.22,0.4,0.5,1.8,12797,0.02527703532332466,0.15396846495072403,0.16417021064290213,0.4721419082597484,0.46346800031257324,0.43252324763616473,0.16331952801437838,0.04883957177463468,-0.005540986038552737,1.2444815702232335
0.08,0.22,0.4,0.7,1.8,12797,0.025313427996857943,0.15400026447946635,0.16437262677709955,0.4715949050558725,0.46346800031257324,0.4286942252090334,0.1624599515511448,0.04837071188559819,-0.004321339746845338,1.2444815702232335
0.08,0.22,0.4,0.9,1.8,12797,0.02543363351315642,0.15413000203204175,0.16501416452242101,0.4710479018519966,0.46346800031257324,0.4243181995780261,0.1598812221614441,0.04751113542236462,-0.002856244845184642,1.2444815702232335
0.08,0.22,0.4,0.5,2.0,12797,0.026207892239264664,0.15637391910583764,0.16759759165162658,0.4713604751113542,0.46346800031257324,0.4271313589122451,0.1554270532155974,0.04430725951394858,-0.004434649521227956,1.2444815702232335
0.08,0.22,0.4,0.7,2.0,12797,0.026244284912797948,0.15640501297669018,0.1677969549269451,0.4708134719074783,0.46346800031257324,0.4233023364851137,0.15456747675236385,0.04383839962491209,-0.003310493970360255,1.2444815702232335
0.08,0.22,0.4,0.9,2.0,12797,0.026364490429096422,0.15653204260667483,0.16842871267797657,0.4702664687036024,0.46346800031257324,0.4189263108541064,0.15198874736266313,0.04297882316167852,-0.00195018239873129,1.2444815702232335
0.08,0.22,0.5,0.5,1.2,12797,0.01968963983238035,0.14155698803048145,0.13909337932607455,0.47643979057591623,0.46346800031257324,0.46659373290614986,0.23997811987184497,0.055091036961787916,-0.014401961765961964,1.2444815702232335
0.08,0.22,0.5,0.7,1.2,12797,0.01973035886333472,0.14159878878846222,0.1393398844167401,0.4758927873720403,0.46346800031257324,0.4627647104790185,0.23911854340861138,0.05493475033210909,-0.012159059548589861,1.2444815702232335
0.08,0.22,0.5,0.9,1.2,12797,0.019855457261247732,0.14175899413909634,0.1400648853487576,0.4753457841681644,0.46346800031257324,0.45838868484801126,0.2365398140189107,0.05454403375791201,-0.00961627096090741,1.2444815702232335
0.08,0.22,0.5,0.5,1.4,12797,0.022476766138979302,0.14754213810056094,0.15234133399679836,0.4741736344455732,0.46346800031257324,0.45284050949441274,0.2032507618973197,0.04016566382745956,-0.011125973283668161,1.2444815702232335
0.08,0.22,0.5,0.7,1.4,12797,0.02251748516993367,0.1475814746613475,0.15257663755972173,0.4736266312416973,0.46346800031257324,0.4490114870672814,0.2023911854340861,0.04000937719778073,-0.009378851625126314,1.2444815702232335
0.08,0.22,0.5,0.9,1.4,12797,0.02264258356784668,0.14773283239048554,0.15326710522951387,0.4730796280378214,0.46346800031257324,0.44463546143627414,0.1998124560443854,0.03961866062358365,-0.007349007285017051,1.2444815702232335
0.08,0.22,0.5,0.5,1.6,12797,0.024505735305310396,0.15226478417851777,0.16094158237258238,0.4729233414081425,0.46346800031257324,0.441978588731734,0.17972962413065563,0.031413612565445025,-0.008935432458064038,1.2444815702232335
