week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2023-09-08,20,3,1,0.05,0.002548573335741139,-0.007587573937511638,-0.0025195003008852495,6531
2023-09-15,20,4,1,0.05,-0.031116759650572052,-0.03941779103644305,-0.03526727534350755,4979
2023-09-22,20,4,0,0.0,0.01262855385473991,0.015542932482105004,0.014085743168422458,
2023-09-28,20,3,1,0.05,-0.03129626259417652,-0.028447559222418,-0.02987191090829726,1590
2023-10-06,20,3,1,0.05,0.014236139994707853,-0.036731713172867275,-0.011247786589079711,3293
2023-10-13,20,2,1,0.05,-0.01762020870843652,-0.014466728696754694,-0.016043468702595605,3293
2023-10-20,20,3,0,0.0,0.10159588398862134,0.07890232156320409,0.09024910277591272,
2023-10-27,20,4,1,0.05,0.10849108420365014,0.16713926072842827,0.1378151724660392,6531
2023-11-03,20,8,4,0.2,0.10127133652490454,0.0830903636969309,0.09218085011091773,"1319,3529,3533,4763"
2023-11-10,20,4,1,0.05,0.09254227984806325,0.04448558910413847,0.06851393447610085,4763
2023-11-17,20,5,2,0.1,0.03485226310544254,0.009353195059466524,0.02210272908245453,"1319,4763"
2023-11-24,20,5,1,0.05,0.04090331067234791,0.06399563026170432,0.05244947046702612,1319
2023-12-01,20,3,0,0.0,0.018457235008153012,0.026477075300438562,0.022467155154295787,
2023-12-08,20,4,0,0.0,-0.002392167743453133,-0.0015481952569879054,-0.001970181500220519,
2023-12-15,20,2,1,0.05,0.021833687932945885,-0.08095156723639374,-0.029558939651723928,3363
2023-12-22,20,4,2,0.1,0.004885304097463572,-0.03730588620036762,-0.016210291051452025,"1319,3363"
2023-12-29,20,3,1,0.05,0.017155193555692044,-0.012828488357993809,0.0021633525988491173,1319
2024-01-05,20,9,3,0.15,0.04460317817734534,0.14967386545975817,0.09713852181855176,"2059,5274,6271"
2024-01-12,20,6,3,0.15,0.07154371864716311,0.1421156612694617,0.10682968995831241,"3376,3533,5274"
2024-01-19,20,4,4,0.2,0.09314926256776764,0.08290388789140099,0.08802657522958432,"3008,3376,3533,5274"
2024-01-26,20,4,3,0.15,0.10603109747924928,0.1435473812477372,0.12478923936349323,"3008,3533,5274"
2024-02-02,20,5,3,0.15,0.05766642519358215,-0.0036042940728455266,0.02703106556036831,"3008,3533,5274"
2024-02-05,20,5,3,0.15,0.07732740031836526,0.008706079955774614,0.043016740137069936,"3008,3533,5274"
2024-02-16,20,5,3,0.15,0.05160805999064673,0.028755012188152816,0.04018153608939977,"3008,3533,5274"
2024-02-23,20,5,1,0.05,0.04353834679703504,-0.08395940402496613,-0.020210528613965544,3008
2024-03-01,20,3,1,0.05,0.007133668985153168,-0.09764920582415419,-0.045257768419500514,3008
2024-03-08,20,1,1,0.05,0.05542960321756559,-0.04800000000000004,0.0037148016087827744,3008
2024-03-15,20,3,2,0.1,-0.011491475146276492,-0.0584906753296515,-0.03499107523796399,"3008,4763"
2024-03-22,20,2,1,0.05,-0.07734135087530228,-0.08601249064652378,-0.08167692076091303,4763
2024-03-29,20,1,0,0.0,-0.0009459321006831222,-0.023622047244094446,-0.012283989672388784,
2024-04-03,20,4,2,0.1,-0.010496502344662439,0.0384654222302091,0.013984459942773331,"2412,2603"
2024-04-12,20,5,3,0.15,0.02940872989230034,-0.07045354903443335,-0.020522409571066505,"2412,4763,6789"
2024-04-19,20,6,2,0.1,0.14114501142447272,0.03925036342382088,0.0901976874241468,"2412,2603"
2024-04-26,20,6,1,0.05,0.1709211021740132,0.029475717711576643,0.10019840994279493,2412
2024-05-03,20,5,1,0.05,0.13835584589486485,0.005733779887575041,0.07204481289121994,2412
2024-05-10,20,7,0,0.0,0.10602132759133445,0.030683465233752965,0.0683523964125437,
2024-05-17,20,7,0,0.0,0.05494143062930673,0.035256295786336204,0.04509886320782147,
2024-05-24,20,6,0,0.0,0.04015265515595011,0.046044922701367175,0.04309878892865864,
2024-05-31,20,4,1,0.05,0.028877005110545632,0.08534186151263609,0.057109433311590865,2412
2024-06-07,20,3,0,0.0,0.02518677078822929,0.08409445816223675,0.054640614475233024,
2024-06-14,20,3,1,0.05,0.02482770365134541,-0.02071958906209796,0.002054057294623726,2412
2024-06-21,20,5,1,0.05,-0.018234499543830156,0.001455533767656858,-0.00838948288808665,2412
2024-06-28,20,7,3,0.15,-0.02833296243114914,-0.07065506680766372,-0.04949401461940643,"2412,3533,8358"
2024-07-05,20,3,3,0.15,-0.18634640434119096,-0.1854930136238676,-0.1859197089825293,"2618,3563,6415"
2024-07-12,20,6,3,0.15,-0.08154281547889006,-0.16557377771129214,-0.1235582965950911,"2059,3563,6415"
2024-07-19,20,6,1,0.05,0.016986495288235027,-0.04277839865324351,-0.012895951682504242,6415
2024-07-26,20,7,0,0.0,0.07004230617315632,0.10298178346846895,0.08651204482081264,
2024-08-02,20,9,1,0.05,0.09550281707728565,0.10469515034541006,0.10009898371134786,2609
2024-08-09,20,6,0,0.0,0.060463190076833984,0.04115505487266371,0.05080912247474885,
2024-08-16,20,2,0,0.0,0.03104189675830536,-0.03116173485826057,-5.991904997760568e-05,
2024-08-23,20,2,0,0.0,0.024297718732013092,-0.04818256710754748,-0.011942424187767194,
2024-08-30,20,2,0,0.0,0.011586431503576116,-0.07766571402369049,-0.033039641260057186,
2024-09-06,20,5,0,0.0,0.050997324054138746,0.13497233504068268,0.09298482954741072,
2024-09-13,20,8,2,0.1,0.06012736291454039,0.08606061121909975,0.07309398706682008,"2618,3363"
2024-09-20,20,1,0,0.0,0.08230274860690664,0.08941418293936287,0.08585846577313476,
2024-09-27,20,3,1,0.05,0.007042481707961623,-0.04775531603293629,-0.020356417162487334,2059
2024-10-04,20,3,1,0.05,0.033940821272221894,0.01899106676330997,0.026465944017765933,6176
2024-10-11,20,3,1,0.05,0.042778023091440236,-0.0029274515997744035,0.019925285745832917,2618
2024-10-18,20,3,1,0.05,-0.029133613882855208,-0.00047179482474927575,-0.014802704353802243,2609
2024-10-25,20,2,0,0.0,0.0002672686632715915,-0.060790479914836326,-0.030261605625782367,
2024-11-01,20,2,1,0.05,-0.003163278905651773,0.057484310384965265,0.027160515739656745,2618
2024-11-08,20,3,0,0.0,0.04084825889527423,-0.014610159517191282,0.013119049689041474,
2024-11-15,20,4,1,0.05,0.053043395828532444,0.010082184250903181,0.03156279003971781,3293
2024-11-22,20,6,1,0.05,0.05362600449260668,-0.0173152637563862,0.01815537036811024,4583
2024-11-29,20,5,2,0.1,0.08204035570736129,-0.007843441803141204,0.037098456952110045,"3293,4763"
2024-12-06,20,2,1,0.05,0.013454782444646346,0.019669014084506997,0.01656189826457667,3293
2024-12-13,20,2,1,0.05,-0.06685409561795637,-0.03490912471528845,-0.05088161016662241,3293
2024-12-20,20,4,1,0.05,-0.021149953872078863,0.126674023087281,0.05276203460760107,3293
2024-12-27,20,5,3,0.15,-0.04090115035595252,-0.05022044569707098,-0.04556079802651175,"2603,2609,3293"
