horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
60d,10,20,30,40,10.536,82.2,1.75,849
60d,10,20,20,50,10.522,80.7,1.713,849
60d,10,20,10,60,9.802,79.4,1.636,849
60d,10,30,60,0,9.616,80.9,1.736,849
60d,10,30,50,10,9.911,80.3,1.737,849
60d,10,30,40,20,10.227,81.3,1.75,849
60d,10,30,30,30,10.289,81.5,1.717,849
60d,10,30,20,40,10.196,81.0,1.678,849
60d,10,30,10,50,9.728,79.5,1.602,849
60d,10,30,0,60,9.122,76.6,1.474,849
60d,10,40,50,0,9.609,80.9,1.726,849
60d,10,40,40,10,9.866,80.8,1.707,849
60d,10,40,30,20,10.018,80.7,1.695,849
60d,10,40,20,30,9.778,80.2,1.632,849
60d,10,40,10,40,9.576,78.6,1.554,849
60d,10,40,0,50,9.205,76.8,1.464,849
60d,10,50,40,0,9.589,80.6,1.702,849
60d,10,50,30,10,9.579,80.3,1.676,849
60d,10,50,20,20,9.433,79.9,1.623,849
60d,10,50,10,30,9.273,78.7,1.535,849
60d,10,50,0,40,8.956,76.4,1.451,849
60d,10,60,30,0,9.189,80.3,1.666,849
60d,10,60,20,10,9.044,80.2,1.607,849
60d,10,60,10,20,8.832,78.4,1.536,849
60d,10,60,0,30,8.729,76.4,1.447,849
60d,20,0,80,0,9.023,83.0,1.686,849
60d,20,0,70,10,9.074,82.7,1.684,849
60d,20,0,60,20,9.504,81.4,1.702,849
60d,20,0,50,30,9.808,81.4,1.707,849
60d,20,0,40,40,9.894,81.0,1.684,849
60d,20,0,30,50,9.742,80.1,1.64,849
